id,rikishi,img_url
1123,Hakuho,https://upload.wikimedia.org/wikipedia/commons/6/6d/Hakuho_2012_January.JPG
1219,Kakuryu,https://cdn-japantimes.com/wp-content/uploads/2021/03/np_file_77628.jpeg
1226,Kotoshogiku,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Sumo_May09_Kotoshogiku.jpg/170px-Sumo_May09_Kotoshogiku.jpg
2879,Sadanoumi,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20030054.jpg
5944,Tamawashi,https://upload.wikimedia.org/wikipedia/commons/1/10/Tamawashi_08_Sep.JPG
6463,Okinoumi,https://upload.wikimedia.org/wikipedia/commons/b/b6/09_Sep_Okinoumi.JPG
6468,Goeido,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Sumo_May09_Goeido.jpg/150px-Sumo_May09_Goeido.jpg
6473,Tochiozan,https://upload.wikimedia.org/wikipedia/commons/d/da/Tochiozan_in_Harubasho_2013_IMG_1878-2_20130324.JPG
6480,Takayasu,https://www.merckmanuals.com/-/media/manual/professional/images/19a-images-of-aorta-in-takayasu-arteritis-ctisus.jpg?mw=350&thn=0&sc_lang=en
6491,Ikioi,https://upload.wikimedia.org/wikipedia/commons/a/af/Ikioi_in_Harubasho_2013_IMG_1879-2_20130324.JPG
6594,Ryuden,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20060023.jpg
6596,Nishikigi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Nishikigi_2015_May.JPG/220px-Nishikigi_2015_May.JPG
6599,Tochinoshin,https://upload.wikimedia.org/wikipedia/commons/4/4e/Tochinoshin.jpg
6614,Shohozan,https://upload.wikimedia.org/wikipedia/commons/5/5b/Matsutani_2010_May.JPG
6642,Chiyonokuni,https://upload.wikimedia.org/wikipedia/commons/c/c0/Chiyonokuni2_2012_Jan.JPG
6753,Kaisei,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kaisei_2010_Sep.JPG/1200px-Kaisei_2010_Sep.JPG
7153,Kotoeko,https://upload.wikimedia.org/wikipedia/commons/a/a5/Kotoeko_2017.jpg
7239,Kyokushuho,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20070084.jpg
7240,Chiyomaru,https://upload.wikimedia.org/wikipedia/commons/c/c6/Chiyomaru_2014.jpg
8899,Kyokutaisei,https://upload.wikimedia.org/wikipedia/commons/3/37/Kyokutaisei_2014.JPG
8900,Akiseyama,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Akiseyama_2014.JPG/220px-Akiseyama_2014.JPG
9079,Kotoyuki,https://i.ytimg.com/vi/TfI09Yb6PoQ/maxresdefault.jpg
11723,Azumaryu,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20080097.jpg
11726,Tokushoryu,https://upload.wikimedia.org/wikipedia/commons/6/6f/Makoto_Tokushoryu%2C_the_winner_of_the_first_grand_tournament_of_2020.jpg
11728,Takarafuji,https://upload.wikimedia.org/wikipedia/commons/d/da/Takarafuji_2011_Sep.JPG
11784,Myogiryu,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20090065.jpg
11785,Chiyoshoma,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20090066.jpg
11786,Aoiyama,https://static.wikia.nocookie.net/sumowrestling/images/3/31/Aoiyama_8.jpg/revision/latest/top-crop/width/360/height/450?cb=20200814132429
11840,Chiyonoo,https://static.wikia.nocookie.net/sumowrestling/images/d/db/Chiyonoo_6.jpg/revision/latest/top-crop/width/360/height/450?cb=20200831211241
11845,Kagayaki,https://i1.wp.com/tachiai.org/wp-content/uploads/2017/10/kagayaki.jpg?fit=270%2C474&ssl=1
11855,Takanosho,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20100039.jpg
11868,Terutsuyoshi,https://upload.wikimedia.org/wikipedia/commons/1/14/Terutsuyoshi_2017.jpg
11918,Akua,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=297540970376298
11927,Terunofuji,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Terunofuji_Haruo20171112.jpg/1200px-Terunofuji_Haruo20171112.jpg
11934,Chiyotairyu,https://static.wikia.nocookie.net/sumowrestling/images/f/f1/Chiyotairyu_9.jpg/revision/latest/top-crop/width/360/height/450?cb=20200901212047
11946,Meisei,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20110029.jpg
11985,Daieisho,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20120003.jpg
12024,Shimanoumi,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20120047.jpg
12026,Hidenoumi,https://upload.wikimedia.org/wikipedia/commons/b/b6/Hidenoumi_2015_May.JPG
12043,Onosho,http://sumodb.sumogames.de/pics/12043.jpg
12051,Ishiura,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20130013.jpg
12055,Endo,https://investor.endo.com/sites/g/files/knoqqb6111/themes/site/nir_pid529/dist/images/Endo_Corporate_Primary_Logo_CMYK_re.jpg
12094,Abi,https://static.independent.co.uk/2021/03/12/16/newFile-8.jpg?width=982&height=726&auto=webp&quality=75
12107,Ichinojo,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20130077.jpg
12113,Tsurugisho,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20140002.jpg
12130,Shodai,https://upload.wikimedia.org/wikipedia/commons/3/3f/Shodai_Dohyo-iri_Fukuoka_2016.jpg
12144,Daishomaru,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20140033.jpg
12191,Takakeisho,https://upload.wikimedia.org/wikipedia/commons/3/3e/Takakeisho_Mitsunobu20180909.jpg
12203,Tobizaru,https://static.wikia.nocookie.net/sumowrestling/images/8/83/Tobizaru_2.jpg/revision/latest/top-crop/width/360/height/450?cb=20201222140820
12210,Mitakeumi,https://upload.wikimedia.org/wikipedia/commons/3/3e/Mitakeumi_Sep_2015.JPG
12226,Ura,https://static.wikia.nocookie.net/sumowrestling/images/c/cf/Ura_3.jpg/revision/latest?cb=20201224235750
12231,Kiribayama,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20150034.jpg
12239,Hokutofuji,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20150042.jpg
12270,Kotonowaka,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20150081.jpg
12273,Daiamami,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20160002.jpg
12291,Asanoyama,https://upload.wikimedia.org/wikipedia/commons/d/dd/Asanoyama_2017_March.jpg
12292,Yutakayama,https://upload.wikimedia.org/wikipedia/commons/8/8a/Yutakayama-Ryota20171112.jpg
12352,Midorifuji,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20160082.jpg
12362,Ichiyamamoto,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20170002.jpg
12370,Wakatakakage,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20170011.jpg
12412,Enho,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20170053.jpg
12449,Kotoshoho,https://www.sumo.or.jp/img/sumo_data/rikishi/270x474/20170094.jpg
12451,Hoshoryu,https://sumo.or.jp/img/sumo_data/rikishi/270x474/20170096.jpg